"Fecha","Fallecidos"
2020-12-20,9036
2020-12-21,9043
2020-12-22,9052
2020-12-23,9065
2020-12-24,9076
2020-12-25,9083
2020-12-26,9093
2020-12-27,9098
2020-12-28,9106
2020-12-29,9135
2020-12-30,9149
2020-12-31,9165
2021-01-01,9175
2021-01-02,9186
2021-01-03,9201
2021-01-04,9219
2021-01-05,9241
2021-01-06,9287
2021-01-07,9304
2021-01-08,9328
2021-01-09,9351
2021-01-10,9376
2021-01-11,9415
2021-01-12,9454
2021-01-12,9454
2021-01-12,9454
2021-01-12,9454
2021-01-12,9454
