"Fecha","Nuevos_casos"
2020-10-24,167
2020-10-25,74
2020-10-26,99
2020-10-27,172
2020-10-28,197
2020-10-29,163
2020-10-30,147
2020-10-31,126
2020-11-01,76
2020-11-02,34
2020-11-03,69
2020-11-04,126
2020-11-05,139
2020-11-06,142
2020-11-07,84
2020-11-08,48
2020-11-09,86
2020-11-10,103
2020-11-11,112
2020-11-12,113
2020-11-13,180
2020-11-14,112
2020-11-15,65
2020-11-16,125
2020-11-17,102
2020-11-18,96
2020-11-19,187
2020-11-20,98
2020-11-21,68
2020-11-22,56
2020-11-23,56
2020-11-24,113
2020-11-25,129
2020-11-26,114
2020-11-27,104
2020-11-28,98
2020-11-29,30
2020-11-30,86
2020-12-01,102
2020-12-02,184
2020-12-03,192
2020-12-04,139
2020-12-05,167
2020-12-06,68
2020-12-07,97
2020-12-08,189
2020-12-09,214
2020-12-10,325
2020-12-11,312
2020-12-12,333
2020-12-13,120
2020-12-14,195
2020-12-15,371
2020-12-16,498
2020-12-17,451
2020-12-18,484
2020-12-19,621
2020-12-20,253
2020-12-21,362
2020-12-22,674
2020-12-23,1005
2020-12-24,1057
2020-12-25,469
2020-12-26,759
2020-12-27,494
2020-12-28,751
2020-12-29,1293
2020-12-30,1485
2020-12-31,1752
2021-01-01,861
2021-01-02,1070
2021-01-03,606
2021-01-04,1010
2021-01-05,1597
2021-01-06,1713
2021-01-07,1910
2021-01-08,2263
2021-01-09,1644
2021-01-10,1098
2021-01-11,1392
2021-01-12,1473
2021-01-13,2057
2021-01-14,2198
2021-01-15,2573
2021-01-16,2091
2021-01-17,1503
2021-01-18,1550
2021-01-19,2357
2021-01-20,2655
2021-01-21,2648
2021-01-22,1864
2021-01-23,1732
2021-01-24,1048
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
